WOD code,NODC code,Platform Name
2900,32HE,HAWAIIAN ENTERPRISE
2912,32HQ,HAWAIIAN QUEEN
5432,61HA,HAWEA
3001,32J9,HAWES U.S.S.(FFG-53) 
4721,49HD,HAYABUSA
4746,49H3,HAYACHINE MARU (Call sign JRLQ)
8742,49U9,HAYASHIO (Call sign JG5543; built 03.1999)
4558,49AV,HAYASUI MARU 
4733,49HP,HAYATE (Call sign JI3166; built 03.1971)A
8066,49EX,HAYATSUKI (10/1974 to 02/1988)
2406,313N,HAZELWOOD
4473,47HA,HAZVI
8268,3353,HDC-16
2923,32H1,HEALY (Call sign NJUE; active 1943 - 1958)
8979,33HQ,HEALY (USCGC;WAGB-20; call sign NEPP; built 11.1999; IMO 9083380)\0
4157,35HE,HEBE
10625,54HB,HEBE (Cont.ship.call sign A8OH7;built 2008;ex.CSAV Itajai 04.2013;IMO9334375)
5819,74HC,HECATE (HMS;A137;c.s.GQCA;comm-d 1965;decomm-1990)
1613,31HK,HECK (Call sign WTEY; built 1966; IMO6727870)
5817,74HA,HECLA (A133; active 1964 - 1997; Naval vessel)
2924,32H2,HEERMANN
4731,49HN,HEIAN MARU (Call sign JIQD; operation dates 10.1977 - 11.1997; IMO7705817)
10077,49QC,HEIAN MARU (F/V; call sign 7KEV; built 1997; IMO8936384)1
8085,49GV,HEIAN MARU NO.1 (Call sign JRRA;built 09.1960; ex. Heian Maru 06.1977)
300,06HE,HEIDELBERG
1225,26HM,HEIMDAL
5345,58HE,HEIMDAL
7066,905K,HEIMDAL
5349,58HL,HEIMLAND I
7384,06HK,HEINCKE (R/V; call sign DBCK; built 1990; IMO8806113)
4694,49FT,HEIWA IBARAKI MARU
4722,49HE,HEIYO (Call sign JLBD; active 03.1955 - 10.1986)
7656,26HL,HEKLA
4664,49EH,HEKURA (Call sign JBGI; active 06.1951 - 08.1979)
878,18HD,HELENE DANY
4427,45HE,HELGA
7954,06KL,HELGOLAND (DSFY)
306,06HR,HELGOLAND REEDE F/S
305,06HP,HELICOPTER
879,18HE,HELICOPTER
2911,32HP,HELICOPTER
7841,77HP,HELICOPTER
6743,ZZHP,HELICOPTER
5347,58HH,HELLAND HANSEN (R/V;comm-d 1957;decomm-d 1976)
10274,58HJ,HELMER HANSSEN (R/V; call sign LAHV; built 1988;ex.Jan Mayen 06.2011;IMO8716655)
8469,74GV,HELMSDALE (HMS;K253;active 1943-1957)
3984,34HE,HELSINGKALLAN L/S
2274,31ZY,HENLEY
9305,33HH,HENRY B.BIGELOW (NOAA ship;FRV; call sign WTDF;commissioned 07.2007;IMO9349057)
7171,18HS,HENRY LARSEN (CCGS;Medium Icebreaker;call sign CGHL;built 1988;IMO8409329)
2483,315U,HEPBURN
4040,34HK,HERAKLES
5820,74HD,HERALD
498,08HE,HERCULES
8775,74H6,HERCULES (STEAM SHIP - CIRCA 1896)
5346,58HF,HERMANN FRIELE
387,06WT,HERMANN WATTENBERG (R/V;built 1944;ex.Suedfall;decomm-d 12.1976)
9044,93HG,HERMANO GINES (Call Sign YYV2502; built 06.1995; IMO9113185) 
5825,74HM,HERMES (HMS;R12;comm-d 11.1959;decomm-d 1984;renamed Viraat) 
2506,316H,HERNAN CORTEZ
9678,31XX,HERNAN CORTEZ II (Built 1974; active 1984 - 1997; renamed R/V Coral Sea)A
2508,316J,HERO
10665,PAHC,HEROIC ACE (Vehicles Carrier;call sign HPFM;built 2003;IMO9252216)
497,08HA,HEROINA
1607,31HE,HERON
641,09R9,HERON ISLAND (COASTAL STATION)
735,10HE,HERTHA
8937,58CS,HERTHA
1326,29HE,HESPERIDES (Call Sign EBBW; built 05/1991; Research vessel)
11156,6717,HESTIA (Self-propelled boat;c.s.SPG2566;built 1961;MMSI 261018790)
4719,49HB,HEWA (BARAGI MARU)
5599,67HE,HEWELIUSZ (SPWC)
2918,32HW,HEWITT
5823,74HI,HIAWATHA
2904,32HI,HICKOX
4779,49JC,HIDAKA MARU (JQVW)
1611,31HI,HIDALGO
1606,31HD,HIDATSA
4641,49DE,HIDEHIKO MARU (Call sign JGOP; built 02.1955)
6412,90HI,HIDROGRAF
6912,LAHI,HIDROGRAFS
4739,49HV,HIEI MARU
8831,33GD,HIGGINS (DDG-76) (Call sign NMEG)
7341,PAHG,HIGHGATE
8672,LTHI,HIIUMADAL
114,PAHA,HIKAWA II (3EZG5)
4580,49BI,HIKAWA MARU
11385,330Y,HILDEBRAND (R/V;NOAA ship 1492;length 13.4)
5824,74HL,HILDEGARDE
9014,54HO,HILLE OLDENDORFF (ELXD7)!
10603,35ZS,HIMILCON (AUV;Slocum glider;#098;b.2008;Length 2.15;owned by ENSTA&LOCEAN)
746,11HI,HINDER
6765,18HM,HINODE MARU
5083,49XP,HINOKUNI
10063,49XX,HINOKUNI (Call sign JM5476; built 02.1986)
4723,49HF,HINOKUNI MARU
5163,492H,HINYO MARU (1963)
4581,49BJ,HIRA MARU
4735,49HR,HIROTA MARU (Call sign 8KRP; built 03.1960)
4726,49HI,HISHO
5348,58HI,HISO
7345,491T,HITACHI (Call sign 7JVX; built 03.1981)
2915,32HT,HITCHITI
4741,49HX,HIYOSHI MARU 
521,09AD,HMAS ADELAIDE (FFG-01)
10325,09A1,HMAS ANZAC (D59; comm-d 03.14.1951; decomm-d 10.04.1974)a
530,09AN,HMAS ANZAC (FFH 150;call sign VKNG; comm-d 05.1996)
8616,09AS,HMAS ARUNTA (FFH 151; call sign VKMQ;built 06.28.1996;comm-d 12.12.1998)Q
8761,09BT,HMAS BALLARAT (FFH 155;call sign VKLG;built 05.25.2002;comm-d 06.26.2004)
541,09BS,HMAS BRISBANE (D 41;c.s.VKLC;built 05.1966;comm-d 12.16.1967;decomm-d 10.19.2001
544,09CA,HMAS CANBERRA (FFG-02;c.s.VKCN;built 1978;comm-d 03.21.81;decomm-d 11.12.2005)
518,09AA,HMAS DARWIN (FFG-04;call sign VKDA;built 03.1982;comm-d 07.1984)
553,09DE,HMAS DERWENT (F-22/DE-22/DE-49;Built 04.1961;comm-d 04.1964;decomm-d 08.1994)
586,09HO,HMAS HOBART (D-39;c.s.VKLB;built 01.1964;comm-d 12.1965;decomm-d 05.2000)
8760,09LE,HMAS LEEUWIN (A245;call sign VLSE;comm-d 2000;Australian Navy ship)
606,09MB,HMAS MELBOURNE (FFG-05;c.s.VKLP;built 05.1989;comm-d 02.1992)
8759,09MV,HMAS MELVILLE (A 246;call sign VLSF;commissioned 2000)
7234,09NW,HMAS NEWCASTLE (FFG-06;c.s.VLNC;built 02.1992;comm-d 12.1993)
626,09PA,HMAS PARRAMATTA (F05/DE 46; built 01.31.1959;comm-d 07.1961;decomm-d 01.1991)
10326,09PD,HMAS PARRAMATTA (FFH-154;call sign VKMN;built 06.17.2000;comm-d 10.04.2003)
629,09PE,HMAS PERTH (D 38;c.s.VKPT;built 09.1963;comm-d 07.1965;decomm-d 10.1999)Q
10365,09PR,HMAS PERTH (FFH 157;c.s.VKPT;built 03.2004;comm-d 08.2006)
655,09ST,HMAS STUART (F-21/DE-48;built 04.1961;comm-d 06.1963;decomm-d 07.1991)
10377,09SU,HMAS STUART (FFH-153;call sign VKCK;built 04.1999;comm-d 08.2002)
649,09SH,HMAS SYDNEY (FFG-03;call sign VKML;built 09.1980;comm-d 01.1983)
9127,09TT,HMAS TOOWOOMBA (FFH-156;call sign VKLI;built 05.2003;comm-d 10.2005) 
667,09TR,HMAS TORRENS (DE-53;call sign VLNB;built 09.1968;comm-d 01.1971;decomm-d 1998)
10364,09WM,HMAS WARRAMUNGA (Built 02.1942;comm-d 11.1942;decomm-d 12.1959)
8439,18A6,HMCS BADDECK (K147; corvette; comm-d 05.1941; decomm-d 07.1945)
8440,18A7,HMCS BUKINGHAM (K685/FFE314;callsign CGZB;active 11.1944-11.1945;06.1954-03.1965
8425,18FB,HMCS CAILIFF (T 276;MS Trawler;active 09.1942 - 06.1945; ex.HMS Cailiff)!
8443,18A8,HMCS COBALT (K124; corvette; comm-d 11.1940; decomm-d 06.1945)
8467,18DH,HMCS GUYSBOROUGH (J52;Minesweeper;comm-d 04.1942;sunk 03.1945)
8468,18DJ,HMCS INGONISH
8464,74HG,HMCS MAGOG
8420,18M2,HMCS MEON (K 269; ex.HMS Meon; launched 08.1943; scrapped 05.1966)
8458,18NM,HMCS NANAIMO 
8179,18HI,HMCS NEW HISKCARD
8459,18BZ,HMCS NOOTKA (R96/DDE213; call sign CZJS; comm-d 1946; decomm-d 1964) 
8454,18BF,HMCS PENETANG (K676/FFE316; active 10.1944 - 01.1956)
8455,18BJ,HMCS PRESTONIAN (K662/FFE307; active 09.1944 - 04.1956)
8457,18BM,HMCS QUEENSVILLE (Tug; built 12.1944; sank 05.1952)
8456,18BK,HMCS QUINTE
8449,18DF,HMCS REINDEER (Call sign CYQY; ex. ML116 1954)
8448,18A9,HMCS SANS PEUR (Z02/Z52; armed yacht; service 03.1940 - 01.1947)
9841,18S1,HMCS SHAWINIGAN (MM-704; c.s.CGAX; commissioned 06.1997; Canada/Navy)
8436,18A5,HMCS ST. ALBANY
8184,18A3,HMCS ST. STEPHEN (K454; frigate; launched 02.1944)
8437,18EK,HMCS STANDARD COASTER
8438,18ER,HMCS STAR (Commissioned as HMCS STAR 11.1941)
1025,18TR,HMCS TORONTO (FFH 333;call Sign CGAD; commissioned 1993)!
8397,18WB,HMCS WALLACEBURG
8428,18YB,HMCS YORK
8608,33HM,HMI CAPE LOOKOUT SHOALS (Call Sign WCY7054)
5428,61CA,HMNZS CANTERBURY
8758,61RL,HMNZS RESOLUTION (A14;c.s.ZMRS;b.1989;ex.Tenacious(T-AGOS-17) 1996;dec-d 04.2012
5421,61AB,HMNZS SOUTHLAND
10560,61T2,HMNZS TUI (Built 1962;comm-d 09.1970;decomm-d 1997;ex.USNS Charles H.Davis 1970)
5446,61TI,HMNZS TUI (T234;comm-d 11.1941;decomm-d 1967)
5450,61WA,HMNZS WAIKATO
5639,74AG,HMS AGINCOURT (D86;comm-d 1947;decomm-d 1972)
5641,74AI,HMS AISNE (D22;comm-d 1947;decomm-d 1968)
6052,743F,HMS ANDROMEDA (F-57;comm-d 12.1968;decomm-d 06.1993;sold 1995;ren-d INS Krishna)
5649,74AP,HMS APOLLO (M01; comm-d 1944; decomm-d 1961) 
5644,74AK,HMS ARK ROYAL (R09;launched 05.1950;comm-d 02.1955;decomm-d 02.1979) 
5646,74AM,HMS ARMADA (D14;comm-d 1945;decomm-d 1960)
6035,742M,HMS ARROW (F-173;comm-d 07.1976; decomm-d 03.1994;ren-d PNS Khaibar) 
5662,74BA,HMS BARFLEUR (D80;comm-d 09.1944;decomm-d 1958)
5681,74BT,HMS BATTLEAXE (D118;launched 1945; fate 1964)
5664,74BC,HMS BERWICK (F115; comm-d 06.1961; decomm-d 1985)
5670,74BI,HMS BIGBURY BAY (K606;comm-d 07.1945;decomm-d 05.1959)
5679,74BR,HMS BIRMINGHAM (C19; active 11.1937 - 1960)
5684,74BW,HMS BLACKWOOD (F78; comm-d 08.1957; broken up 1976)
7508,740Z,HMS BLOSSOM (Built 1806; broken up 08.1848)
5668,74BG,HMS BRIGHTON (F106; comm-d 10.1961; decomm-d 1981)
5698,74CB,HMS CARDIGAN BAY (K630;F630; comm-d 06.1945; decomm-d 04.1961)
5714,74CR,HMS CARISBROOKE CASTLE (K379;comm-d 11.1943;decomm-d 1958)
6080,744K,HMS CHARYBDIS (F75;comm-d 1969;decomm-d 1991)
8441,74F3,HMS CHEGUERA 
8442,74F4,HMS CHIVABOUS
8444,74F5,HMS COQUETTE 
5729,74C7,HMS CORUNNA (D97;call sign VMCO;comm-d 1947;decomm-d 1972)
8445,74F6,HMS CREOLE
5749,74DR,HMS DARING (D05;comm-d 03.1952;decomm-d 10.1968)
5758,74D1,HMS DECOY (D106;launched 1949;comm-d 04.1953;sold 1969;r-d BAP Ferre)
5737,74DF,HMS DEFENDER (D114;comm-d 12.1952;decomm-d 1969)
5735,74DD,HMS DELIGHT (D119; comm-d 10.1053; decomm-d 1971)
5744,74DM,HMS DIAMOND (D35; comm-d 02.1952; decomm-d 1970)
5752,74DU,HMS DUNCAN (F80; comm-d 10.1958; decomm-d 1984)
5742,74DK,HMS DUNKIRK (D09; comm-d 11.1946; decomm-d 1963)
5767,74EB,HMS EASTBOURNE (F73; launched 12.1955; comm-d 01.1958; decomm-d 1984)
8447,74F8,HMS EASTON
407,061R,HMS EMDEN
8143,740Q,HMS EREBUS (Launched 1926; fate 04.1848)!
6077,744G,HMS EXETER (D89;call sign GVUJ;comm-d 1980;decomm-d 2009)
5775,74EM,HMS EXMOUTH (F84; comm-d 12.1957; decomm-d 1979)
5786,74FA,HMS FALMOUTH (F113; comm-d 07.1961; decomm-d 07.1984)
8470,74GW,HMS FAME
5794,74FI,HMS FINISTERRE (D55; comm-d 09.1945; decomm-d 1965)
6879,74FJ,HMS FLAMINGO 
8466,74GP,HMS GRAVELINER
5826,74HO,HMS HOGUE (D74; comm-d 07.1945; decomm-d 1959)
6004,741E,HMS LEEDS CASTLE (K384/F384;comm-d 1943;decomm-d 1956)
5856,74LO,HMS LEOPARD (F14;comm-d 09.1958;decomm-d 12.1975)
6084,744P,HMS MANCHESTER (D95;call sign GYHG;comm-d 1982;decomm-d 2011)
6023,741Z,HMS MINERVA (F45;comm-d 1966; decomm-d 1992) 
6037,742P,HMS NEWCASTLE (D87;call sign GQIH;comm-d 1978;decomm-d 02.2005)
8181,74PF,HMS PEACOCK
5894,74PE,HMS PENGUIN
8453,74GL,HMS PINCHER
5904,74PY,HMS PLYMOUTH (F126;comm-d 1961;decomm-d 1988)
8148,740R,HMS RATTLESNAKE
8450,74F9,HMS RELENTLESS
8152,74XX,HMS RESOLUTION (Launched 1770;ex.HMS Drake 12.1771)
8451,74GH,HMS ROCKET
8452,74GK,HMS ROMOLA
5923,74SH,HMS SCARBOROUGH (F63;launched 1955;comm-d 1957;decomm-d 1972)
5931,74SP,HMS SCORPION (D64;call sign GUHZ;comm-d 1947;decomm-d 1971)
6081,744L,HMS SCYLLA (F71;call sign GXDE;comm-d 1970;decomm-d 1993)
5656,74AU,HMS ST AUSTELL BAY (K634;comm-d 1945;decomm-d 08.1956)
5951,74TI,HMS TINTAGEL CASTLE (K399;comm-d 04.1944;decomm-d 1956)
5955,74TO,HMS TORQUAY (F43;comm-d 1956;decomm-d 1985)
5950,74TF,HMS TRAFALGAR (D77;comm-d 1945;decomm-d 1963)
8432,74A9,HMS VERULAM (R28; comm-d 12.1943; decomm-d 1970)
8433,74F1,HMS VIRAGE
8434,74F2,HMS VISION
6884,74WG,HMS WILD GOOSE
5993,74WZ,HMS WIZARD (R72/F72;comm-d 03.1944;fate 02.1967)
8430,74A7,HMS WOODBRIDGE HAVEN 
8325,33XX,HMS WRANGLER 
5998,74YA,HMS YARMOUTH (F101;comm-d 1960;decomm-d 1986)
8424,74A4,HMS ZAMBESI
8427,74A5,HMS ZEPHYR
8780,74KC,HMTS MONARCH (CIRCA 1896)
3581,320Q,HO2
3710,324H,HOBBY
10008,BHHA,HOEEGH ASIA (Call sign C6QX7;built 2000;decomm-d 07.2010;IMO9191876) 
10138,58EK,HOEEGH BERLIN (Call sign C6XQ4; built 2005; IMO9295842)
9949,58EK,HOEEGH DETROIT (Call sign LAHE6;built 2006; IMO9312470)
10034,PAHD,HOEEGH DUBAI (Call sign H3WF;built 2004;ex.Hual Dubai;IMO9279329)
10614,58EQ,HOEEGH LONDON (C.s.LAPY7;b.2008;ex.Alliance Charleston 2013;IMO9342205)
10352,58EM,HOEEGH OSLO (Call sign LAEK7;built 2007;IMO9382396)
10439,58SM,HOEEGH SEOUL (Call sign LADO6;built 2004;IMO9285495) 
10180,58EN,HOEEGH ST. PETERSBURG (Call sign LAII7;built 2009;IMO9420045)
10546,58HQ,HOEEGH TRIDENT (Call sign LAKP7;built 1995;ex.Haul Trident 11.2010;IMO9075709)
2140,31V8,HOEL
5351,58HO,HOGVARD
1861,31OH,HOH
4748,49H5,HOKKO MARU
10029,49I1,HOKKO MARU (F/V;call sign JEEB; built 2004; IMO9291511)
5145,491C,HOKUHO MARU
5055,49VJ,HOKUSEI
4732,49HO,HOKUSEI MARU 
4645,49DJ,HOKUSHIN MARU
4915,49OU,HOKUYO-MARU
5487,64HO,HOLLAND
2939,32IH,HOLO HOLO
2906,32HK,HONG KONG MAIL
1118,24AQ,HONGYANG HO
10789,32O0,HONOLULU (USS;SSN-718;submarine;comm-d 07.1985;decomm-d 11.2007)
7573,18HB,HOOD (CCGS;call sign CG2845;built 1986;decomm-d 07.2002;IMO8702068)
1617,31HO,HORIZON
163,SVHR,HORIZON (J8GG4)
8880,33HO,HORIZON ENTERPRISE (Cont.s.;c.s.KRGB;b.1980;comm-d 05.2003;IMO7617905)
9236,33H2,HORIZON HAWK (Call Sign WDD6033; Container ship)
9988,33WG,HORIZON PRODUCER (Cont.ship;c.s.WJBJ;built 1974;ex.CSX Pacific 2003;IMO7366312)
9894,33RC,HORIZON SPIRIT (Cont./S;c.s.WFLG;built 08.1980;ex.CSX Spirit 2003;IMO7729459)
9311,33KN,HORIZON TIGER (Call sign WDD6042)
10544,3309,HORIZON TRADER (Cont.ship;c.s.KIRH;b.1973;ex.Csx Trader 2003;IMO7326233)A
2902,32HG,HORNBEAM
1620,31HR,HORNE
2185,31XH,HORNET
10044,33WF,HOS DAVIS (Supply Ship;call sign WDD9066;b.2000;ex.Cape Davis 2007;IMO9229922)
4729,49HL,HOSHO MARU NO. 2
9240,49JJ,HOSOJIMA
4582,49BK,HOTAKA MARU
2910,32HO,HOWARD
885,18HW,HOWAY
11189,33VY,HOWDY (Slocum glider #308;WMO4801915;alter.name UNIT 308;operated by TAMU GERG)
8056,49D3,HOYO
10143,491X,HOYO (Call sign JM6619; built 08.1999)
5139,49ZL,HOYO MARU 12 
2897,32HB,HRB (TB)
10685,54DY,HS DEBUSSY (C.s.A8SH4;b.2007;ex.Sci New Delhi 2012;Hs Debussy 2009;IMO9436484)
7771,33OS,HSV OSPREY
8806,65AT,HUALLAGA 9 (FISHING BOAT)
9139,65BM,HUAMANGA (fishing boat)
8798,65AM,HUANUCO 7 (FISHING BOAT)!
1300,28HU,HUAYAIPE
2928,32H6,HUDSON
884,18HU,HUDSON (CCGS;Offshore Ocean.Science Vessel;call sign CGDG;built 1963;IMO5405279)
1621,31HS,HUGH M. SMITH
9239,33H5,HUGH R. SHARP (R/V; commissioned in 2006; University of Delaware)
7309,58HC,HUGIN (Call sign LK4316; built 1991) 
1630,31H1,HULL
1623,31HU,HUMBOLDT
2925,32H3,HUMDINGER
7606,18HG,HUMPHREY GILBERT (CCGS;built 1959;decomm-d 2001)
2916,32HU,HUNLEY (AS-31)
2100,31U4,HUNT
309,06HU,HUNTE
5822,74HH,HUPEH
881,18HN,HURON
2104,31U8,HUSE
5352,58HU,HUSELAND
2903,32HH,HUTCHINSON
5829,74HU,HUXLEY
6701,95HV,HVAR
1227,26HV,HVIDBJORNEN
8938,58HK,HVIDFISKEN
1631,31H2,HYDAH
5830,74HY,HYDRA
11244,674I,HYDROGRAF 27 (R/V;c.s.SPS2169;built 1988;MMSI 261011250)A
1627,31HY,HYDROGRAPHER 
7519,33HF,HYDROGRAPHIC FIELD PARTY #1 (NOAA)
1608,31HF,HYDROGRAPHIC FIELD PARTY 742 
5600,67HY,HYDROMET (R/V;c.s.SPIC;b.19553;comm-d 1970;decomm-d 1995;IMO5331492)\0
11468,6735,HYDROMET (Self-propelled small boat;c.s.SPG4297;b.2015;MMSI261032050)
9346,RUHY,HYDROPHYSICIST (R/V) 
10078,491Y,HYOGO (Call sign JJ3180; built 06.1979)
4727,49HJ,HYOGO MARU
5080,49XL,HYOGO MARU NO.1
4742,49HY,HYUGA-MARU
4754,49IB,IBARAGI-MARU 
4836,49LR,IBARAKI MARU 
721,09Y6,IBIS
7637,56IS,IBN SINA (CNOJ)
4300,35ZA,IBN ZAIDOUN (FNQC)
8791,65AC,ICA 1 (FISHING BOAT) 
8756,65IC,ICA 10
8792,65AD,ICA 8 (FISHING BOAT) 
6744,ZZIC,ICE CAMP
8899,33GK,ICE CAMP FRAM III (March-May 1981)
8136,33ID,ICE CAMP(S) DEEP FREEZE
2063,31T3,ICE ISLAND (T-3) (ICE SKATE BRAVO)
2439,314K,ICE ISLAND(S)
7251,3314,ICE SKATE ALPHA
887,18IC,ICE STATION
8037,33IH,ICE STATION WEDDEL-1 HELICOPTERS
8125,90W4,ICE STATION WEDDELL-1 ICE CAMP (RUSSIA)
8036,33IC,ICE STATION WEDDELL-1 ICE CAMP (USA) 
239,06CE,ICEBIRD (Cargo ship;call sign DPIB;built 1984;ren-d Polar Bird 1993;IMO8403533)
1291,27IC,ICHTHIOLOG
4161,35IC,ICHTHYS
2938,32IG,IDA GREEN
2935,32ID,IDAHO
2950,32IS,IDAHO STANDARD
2495,3156,IDEAL
10755,29BB,IDEEP02 (AUV;Slocum glider #132;owned by IMEDEA)
5355,58ID,IDUN
10738,06I3,IFM03 (AUV;Slocum glider #068;owned by IFM-GEOMAR)
10740,06I7,IFM07 (AUV;Slocum glider #162;owned by IFM-GEOMAR)
10742,06I9,IFM09 (AUV;Slocum glider #164;owned by IFM-GEOMAR)
11508,068F,IFM12 (Slocum glider;WMO 6801590;operated by IFM-GEOMAR)\0
11509,066B,IFM13 (Slocum glider;WMO 6801634;operated by IFM-GEOMAR)\0
11510,06DI,IFM14 (Slocum glider;WMO 6801635;operated by IFM-GEOMAR)\0
768,14IG,IGARATY
6731,90GP,IGNAT PAVLYUCHENKOV (R/V;call sign UYWF; built 1987; IMO8607074;Kerch)
6415,90IM,IGOR MAKSIMOV (R/V; call sign USWN; built 10.1987;new c.s.UFNW;IMO8606563)
7557,90B9,IHTIOLOG
4769,49IU,IKUNA MARU (Active 12.1947 - 12.1953)
4623,49CR,IKURU-MARU
4202,35LX,ILE DE LA REUNION (FNQD) FORMERLY LA REUNION (FNQQ)
4163,35IM,ILE MAURICE
9975,CYIT,ILLER TRADER (Cont.ship;c.s.C4BZ2;built 2005;ex. Maersk Fuji 2010;IMO9308584)
9210,65CH,IMARPE 5
9417,65IM,IMARPE 6
1228,26IM,IMMANUEL
9024,54IO,IMME OLDENDORFF (ELXD8)
7532,90IZ,IMPULS
9151,65CF,INANSA (fishing boat)
886,18IA,INCH ARRAN
2945,32IN,INCHON
1119,24AR,INCHON 866
8092,24IN,INCHON 888
4164,35IN,INCONSTANT
2784,32D6,INDEPENDENCE (CVA-62)
2947,32IP,INDEPENDENCE (TB)
10276,61IN,INDEPENDENT 1 (FV;c.s.ZMPD;b1997;operated as Independent 1 1997-2006;2008-2012)
8154,99AB,INDIA
2944,32IM,INDIAN MAIL
7228,909P,INDIGIRKA
9493,41IG,INDIRA GANDHI (Call sign VVCY; built 12.1993; IMO9045546)
6919,PAFN,INFANTA
7724,26IG,INGA (5PAS)
1229,26IN,INGOLF
2209,31X5,INGRAHAM
6416,90IN,INGUL
1673,31I9,INTERPRETER (AGR-14; radar picket ship; active 1958 - 1965)
6822,34NT,INTO
2496,3157,INTREPID
5833,74IV,INVADER
588,09IN,INVESTIGATOR 
5832,74IN,INVESTIGATOR 
8142,90XD,INVESTIGATOR 
11003,096U,INVESTIGATOR (R/V;call sign VLMJ;built 08.2014;IMO9616888)
890,18IV,INVESTIGATOR I
888,18IN,INVESTIGATOR II (R/V;comm-d 1946;decomm-d 1970)
6061,743Q,INVINCIBLE (HMS;R05;call sign GUCL;comm-d 07.1980;decomm-d 08.2005)
10387,90R0,IOANN KRONSHTADSKYIY (Steam ship;b.1897;ren-d Sever 1907;Polyarny 1912)
9778,36A6,IOANNIS (Small boat) 
3860,328Z,IOWA (BB-61) 
3580,320P,IPOKAI (WSG6552)
9314,MHIK,IREM KALKAVAN (Call sign V7JT5; built 2006; IMO 9322865)a
8275,45IR,IRISH PATRIOT
6413,90IK,IRKUTSK (F/V; c.s.EWAU; built 1971; IMO7119331; Vladivostok) 
8485,33IR,IRMAY
7329,09DA,IRON DAMPIER 
7334,09FD,IRON FLINDERS
723,09Y8,IRON HUNTER
7618,09IK,IRON KEMBLA (VJDK)
9309,09IM,IRON MONARCH (Call sign VLKG; built 1973; IMO 7305502)
618,09NC,IRON NEW CASTLE (VJDI)
628,09PC,IRON PACIFIC (VJDP)
8112,09IY,IRON YANDI (VNVR)
1656,31IR,IRONWOOD
889,18IS,IROQUOIS
2948,32IQ,IROQUOIS
5489,64IS,ISAAC SWEERS 
9665,327N,ISABEL S. (F/V)
9009,54SE,ISABELLA (A8NJ)
4593,49BW,ISAZU (Call sign 8KOI; built 03.1981)
8939,58CT,ISBJORNEN
2934,32IC,ISELIN COLUMBUS
7908,35IT,ISEULT (FNNK)
8940,58CU,ISHAVET
4762,49IK,ISHIKARI (Call sign JCHG; active 07.1951-10.1974)
5524,64SS,ISIS (F/R/V; call sign PBXD; built 1983; IMO8318180) 
6417,90IS,ISKATEL
40,CUSV,ISLA DE JUVENTUD
1297,28AB,ISLA FLOREANA
450,063K,ISLAND (CIRCA 1950'S)
11387,31XX,ISLAND CLAN
2507,316I,ISLAND WATERS
589,09IS,ISLANDER VI
499,08IS,ISLAS ORCADAS
8941,58CV,ISLYNNU
4767,49IS,ISOGO (Built 12.1951)
3986,34IS,ISOKARI/ENSKAR L/V
4679,49EZ,ISOKAZE (Built 10.1972)
4755,49IC,ISOSHIO
6414,90IL,ISSLEDOVATEL 
4756,49ID,ISUZU (Call sign JPAB; built 03.1976)
10576,54IX,ITAJAI EXPRESS (Cont.ship;call sign A8ID9;built 2006;IMO9320013)
10012,48AO,ITAL FORTUNA (Container ship;call sign ICFO;built 2007;IMO9330496)
9459,54A7,ITAL OTTIMA (Container ship; call sign A8LN3; built 2007)
10024,48IT,ITALICA (R/V;call sign ICSI;built 1981;IMO7942075)
4771,49IY,ITSUKI MARU
4549,49AM,ITSUKUSHIMA (Active 12.1929 - 10.1944)
1076,20IT,ITZUMI
8554,90XH,IVAN KIREYEV (R/V; call sign UCYO;built 05.1977;Former c.s.UWHT;IMO7423275)
7053,905H,IVAN PETROV (R/V; call sign UROV; built 03.1989; new c.s.UFNP;IMO8606575)
7848,90YT,IVAN SPIRIDONOV (F/V; call sign UMZE; built 1957; IMO6870249)
5831,74IB,IVYBANK (GTIA)
4758,49IF,IWAKI
4770,49IW,IWAKI MARU
10106,49XX,IWAKI MARU (Call sign JAAG; decommissioned 01.1955)
11023,4948,IWAKI MARU (F/V;call sign 7JSB;built 2014;IMO9725562)
10098,49IJ,IWAKI MARU (F/V;callsign 8LXK;built 1984;ren-d Taikei Maru No.2 1999;IMO8319419)
4768,49IT,IWATE MARU
10553,49JF,IWATE MARU (Call sign 7JGQ; built 2010; IMO9552549)
7856,20IM,IZISHI MARU
7851,90YX,IZMAYLOVO (F/V; call sign ULQX; built 1986;new c.s.UAMW;IMO8722836)
9824,90N7,IZOGALINA
7370,49DH,IZU
7294,909Y,IZUMRUD
10200,90XX,IZYSKATEL
5838,74JM,J AND S MILES
8276,33AJ,J J COWIE
6665,91JG,J. D. GILCHRIST
1468,31DJ,J. DANIELS
803,18BB,J. E. BERNIER (CCGS;call sign CGBT;built 1967;decomm-d 2006;IMO6717851)
1689,31JP,J. E. PILLSBURY
3073,32MA,J. H. MACGAREGILL
313,06JH,J. H. WILHEHNS
2997,32J5,J. HANCOCK
2570,3178,J. HEWES
1645,31IG,J. INGRAM
2975,32JJ,J. JONES
2059,31TZ,J. K. TAUSSIG
2689,32BJ,J. L. BROWN
883,18HT,J. L. HART
1698,31JY,J. P. KENNEDY JR.
1648,31IJ,J. R. CRAIG
1899,31PJ,J. R. PERRY
3739,325D,J. RODGERS
3258,32RJ,J. RUTHERFORD
1692,31JS,J. STRAUSS
