WOD code,NODC code,Platform Name
7792,90WG,AKADEMIK ALEKSANDR KARPINSKIY (R/V; c.s.UJGN;new c.s.UIZO;built 1984;IMO8227238)
6332,90BM,AKADEMIK ALEKSANDR NESMEYANOV (R/V; call sign UBYK; built 04.1982;IMO7826300)
9510,90H6,AKADEMIK ALEKSANDR SIDORENKO (R/V;c.s.UEQL;built 1985;former c.s.UYTS;IMO8330231
6333,90BN,AKADEMIK ALEKSANDR VINOGRADOV (R/V;c.s.UYEV;new c.s.UABE;built 1983;IMO7826312)
6303,90AO,AKADEMIK ALEKSEY KRYLOV (HWA)
6298,90AJ,AKADEMIK BERG (M.Fact.fishing;c.s.UQAE;built 1963;IMO6404155 Lloyd's 1990-91)
7521,RUAB,AKADEMIK BORIS PETROV (R/V;call sign UDVX;built 06.1984;old c.s.UKSY;IMO8211150)
6305,90AQ,AKADEMIK FYODOROV (R/V; c.s.UQYC; built 1987; new c.s.UCKZ; IMO8519837)
6421,90KD,AKADEMIK IOFFE (R/V;call sign UKLP;built 1989;decomm-d 1992;IMO8507731)
6428,90KN,AKADEMIK KNIPOVICH (Call sign USPO; built 1964;IMO6510356 Reg.of ships 1985-86)
6301,90AM,AKADEMIK KOROLYOV (R/V; call sign UHQS; built 06.1967; IMO6707301)
6309,90AU,AKADEMIK KURCHATOV (R/V; call sign UBLF; built 1966; IMO6610924)
6437,90LA,AKADEMIK M.A. LAVRENTYEV (R/V;c.s.UJFY;b.1984;decomm-d 1992;IMO8211162)
6334,90BP,AKADEMIK MSTISLAV KELDYSH (R/V; call sign UFJI; built 12.1980; IMO7811018)
8034,90NS,AKADEMIK NIKOLAY STRAKHOV (R/V;c.s.UIMS;old c.s.UVXJ;built 05.1985;IMO8211174)
7161,907W,AKADEMIK PETROVSKIY (C.s.ENEN;b-t 1976;o.c.s.UIGJ;ex.Mosk-y Un-t 1976;IMO7102118
8850,90AV,AKADEMIK SERGEY VAVILOV (R/V;c.s.UAUO;old c.s.UKOC;built 1988;IMO8507729)
6536,90SC,AKADEMIK SHIRSHOV (R/V; call sign UMAY; built 1967; IMO6712552)
6335,90BQ,AKADEMIK SHOKALSKIY (R/V;c.s.UUPB;built 10.1982;new c.s.UBNF;IMO8010336)a
10309,90TJ,AKADEMIK SHOKALSKIY (Survey ship; commissioned 1940; sunk 07.1943)
6336,90BR,AKADEMIK SHULEYKIN (C.s.UBNZ;built 1982;n.name Polyarnyy Pioner 2001;IMO8010324)
6580,90VE,AKADEMIK VERNADSKIY (Call sign ULYN; built 1968;renamed Gloriya 2001;IMO6726929)
7785,90WC,AKADEMIK ZERNOV
4597,49B1,AKASHI
8157,41AK,AKBAR (call sign ATGH)
4541,49AE,AKEBONO-MARU 
6296,90AH,AKHILL (F/V; c.s.UUVQ; built 1972; IMO7304209; Lloyd's Register 1990-91)!
4926,49PC,AKI
4545,49AI,AKITA MARU (Call sign JMTF; built 08.1933)
1113,24AK,AKL 908
779,18AA,AKPATOK (R/V)
10661,HKAA,AKRITAS (C.s.VRCJ7;b.1987;ex.Cap Akritas 05.2010;IMO8703397) 
10448,90MW,AKTYUBINSK (F/V;call sign UFRQ;built 1954;Murmansk)
6420,90KC,AKVANAVT (R/V; call sign UMSK; built 1976; new call sign UIOJ; IMO7640500)
10198,901W,AKVATORIYA (Passenger ship;built 12.1965;ex.Khudat 1971;Mius 1981;decomm-d 1997)
11526,56J8,AL AMIR MOULAY ABDALLAH (R/V;built 2001;length 38.5;IMO9242510)\0
7333,KUAA,AL AWDAH (Oil tanker;c.s.9KWA;built 1991;IMO9004803)\0
3703,324A,AL DURIYAH
2670,32A0,AL JO
7237,KUAL,AL SAMIDOON (Oil tanker;c.s.9KKF;b.1992;ren-d Tulja 08.2010;IMO9005261)\0
6908,KUAS,AL SHUHADAA (Oil tanker;c.s.9KKH;b.1992;ren-d Jean Pearl 04.2010;IMO9013311)\0
7357,KUAW,AL WATTYAH (Cont.s.;call sign 9KJP;built 1979;IMO7802275)\0
9379,90LG,ALAID (F/V; call sign UMOV; built 1967; IMO6928400; Murmansk)
6338,90BT,ALAIO
1872,31OS,ALAMINOS
1369,31AS,ALASKA
11552,33O1,ALASKA KNIGHT (F/V;c.s.WDD6948;b.1993;ex.Arctic Baruna II;IMO9037769)
4578,49BG,ALASKA MARU
10960,324O,ALASKAN GYRE (R/V;c.s.WZ3376;length 15.24;USGS Alaska Science Center)
2654,32AK,ALASKAN MAIL 
7011,903W,ALATYR (F/V; call sign UMTK; built 1956; Vladivostok)
6302,90AN,ALAZANI (ESPS)
6290,90AB,ALBA (F/V; call sign UNMT; built 05.1968; Vladivostok)
9418,74NM,ALBA NA MARA (R/V; call sign 2AIE4; commissioned 2007; IMO9378668)
5616,68AL,ALBACORA
2655,32AL,ALBACORE
2418,313Z,ALBANY
542,09B7,ALBANY (COASTAL STATION)1
